Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
CONV2D,"[256, 96, 3, 224, 224, 11, 11]",C,43.75460625218566,1407.9614168736407,7.651701051076923,8378612.650929231,895249.022976,36.75,0.033233642578125,1176.0,1212.7832336425781,117.0,8378612.650929231,191490.98503224895
RELU,"[256, 279936]",M,0.03107656625232115,1.0,0.019709691652815383,21582.112359832845,71.663616,68.34375,0.0,68.34375,136.6875,3.6359582515215747,670.6979446153846,21582.112359832845
CONV2D,"[256, 256, 96, 54, 54, 5, 5]",C,216.46479799470683,6965.531398712326,7.840122092307692,8584933.691076923,917294.2848,68.34375,0.5859375,182.25,251.1796875,117.0,8584933.691076923,39659.72190677788
RELU,"[256, 173056]",M,0.031076566252321153,1.0,0.012184500738274531,13342.028308410612,44.302336,42.25,0.0,42.25,84.5,3.6359582515215747,414.6244266666667,13342.028308410612
CONV2D,"[256, 384, 256, 26, 26, 3, 3]",C,170.47916493427132,5485.778690930438,2.617245696,2865884.03712,306217.746432,42.25,0.84375,63.375,106.46875,117.0,2865884.03712,16810.7583013147
RELU,"[256, 55296]",M,0.03107656625232116,1.0,0.0038932724252474823,4263.1333056459935,14.155776,13.5,0.0,13.5,27.0,3.635958251521575,132.48354461538463,4263.1333056459935
CONV2D,"[256, 384, 384, 12, 12, 3, 3]",C,205.18326059562398,6602.507462686567,0.8362796898461539,915726.2603815384,97844.723712,13.5,1.265625,13.5,28.265625,117.0,915726.2603815384,4462.9676793481485
RELU,"[256, 55296]",M,0.03107656625232116,1.0,0.0038932724252474823,4263.1333056459935,14.155776,13.5,0.0,13.5,27.0,3.635958251521575,132.48354461538463,4263.1333056459935
CONV2D,"[256, 256, 384, 12, 12, 3, 3]",C,165.62986096273258,5329.734939759036,0.5575197932307692,610484.1735876922,65229.815808,13.5,0.84375,9.0,23.34375,117.00000000000001,610484.1735876922,3685.834003839765
RELU,"[256, 36864]",M,0.031076566252321153,1.0,0.0025955149501649885,2842.0888704306626,9.437184,9.0,0.0,9.0,18.0,3.635958251521575,88.32236307692307,2842.0888704306626
GEMM,"[256, 1, 4096, 6400]",C,28.863858360432523,928.7981859410431,0.11471600683760683,125614.02748717948,13421.7728,1.5625,25.0,1.0,27.5625,117.0,125614.02748717948,4351.948582846952
GEMM,"[256, 1, 4096, 4096]",C,28.286581193223878,910.2222222222222,0.07341824437606838,80392.97759179487,8589.934592,1.0,16.0,1.0,18.0,117.0,80392.97759179487,2842.0888704306626
GEMM,"[256, 1, 1000, 4096]",C,24.135308185344606,776.640121350019,0.017924376068376068,19627.191794871796,2097.152,1.0,3.90625,0.244140625,5.150390625,117.0,19627.191794871796,813.2148818712735
